
[Name]
inner_tube inner_tube_inner_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Surface Heat Transfer Coefficient [ W m^-2 K^-1 ], Yplus
3.25186141e-02, 5.81775568e-02, 3.27552371e-02, 0.00000000e+00, 1.12495363e-01
3.24513279e-02, 5.82207628e-02, 3.27551104e-02, 0.00000000e+00, 1.15066372e-01
3.33367735e-02, 5.77838682e-02, 3.37262414e-02, 0.00000000e+00, 1.39855802e-01
3.32552008e-02, 5.78001812e-02, 3.37263830e-02, 0.00000000e+00, 1.39792949e-01
3.31742130e-02, 5.78190126e-02, 3.37264501e-02, 0.00000000e+00, 1.41567037e-01
3.30938585e-02, 5.78403547e-02, 3.37264612e-02, 0.00000000e+00, 1.42256320e-01
3.30144726e-02, 5.78649566e-02, 3.37265320e-02, 0.00000000e+00, 1.42997131e-01
3.29360403e-02, 5.78922927e-02, 3.37265097e-02, 0.00000000e+00, 1.43789962e-01
3.28584984e-02, 5.79220690e-02, 3.37264799e-02, 0.00000000e+00, 1.44289792e-01
3.27821448e-02, 5.79545684e-02, 3.37264352e-02, 0.00000000e+00, 1.44792542e-01
3.27071026e-02, 5.79899587e-02, 3.37263644e-02, 0.00000000e+00, 1.45390913e-01
3.26332301e-02, 5.80275729e-02, 3.37262861e-02, 0.00000000e+00, 1.45526662e-01
3.25608291e-02, 5.80678396e-02, 3.37261558e-02, 0.00000000e+00, 1.45425111e-01
3.24900709e-02, 5.81108369e-02, 3.37260477e-02, 0.00000000e+00, 1.45102277e-01
3.24207693e-02, 5.81559427e-02, 3.37259173e-02, 0.00000000e+00, 1.47506192e-01
3.33358049e-02, 5.77059165e-02, 3.46970707e-02, 0.00000000e+00, 1.69505805e-01
3.32514793e-02, 5.77225126e-02, 3.46972197e-02, 0.00000000e+00, 1.69672117e-01
3.31677683e-02, 5.77417985e-02, 3.46972868e-02, 0.00000000e+00, 1.71988145e-01
3.30847315e-02, 5.77637553e-02, 3.46973054e-02, 0.00000000e+00, 1.73005417e-01
3.30027267e-02, 5.77891842e-02, 3.46973799e-02, 0.00000000e+00, 1.73893750e-01
3.29217054e-02, 5.78174330e-02, 3.46973576e-02, 0.00000000e+00, 1.74671352e-01
3.28416303e-02, 5.78482412e-02, 3.46973278e-02, 0.00000000e+00, 1.75080165e-01
3.27627882e-02, 5.78818917e-02, 3.46972756e-02, 0.00000000e+00, 1.75446495e-01
3.26853506e-02, 5.79186156e-02, 3.46972011e-02, 0.00000000e+00, 1.75975457e-01
3.26091833e-02, 5.79577386e-02, 3.46971229e-02, 0.00000000e+00, 1.75942138e-01
3.25344130e-02, 5.79993762e-02, 3.46969664e-02, 0.00000000e+00, 1.75377876e-01
3.24615352e-02, 5.80441356e-02, 3.46968584e-02, 0.00000000e+00, 1.74536839e-01
3.23902145e-02, 5.80911264e-02, 3.46967280e-02, 0.00000000e+00, 1.76874071e-01
3.33348401e-02, 5.76279648e-02, 3.56679037e-02, 0.00000000e+00, 1.94045082e-01
3.32477577e-02, 5.76448441e-02, 3.56680527e-02, 0.00000000e+00, 1.94522917e-01
3.31613272e-02, 5.76645806e-02, 3.56681272e-02, 0.00000000e+00, 1.97325125e-01
3.30756046e-02, 5.76871559e-02, 3.56681459e-02, 0.00000000e+00, 1.98629931e-01
3.29909772e-02, 5.77134117e-02, 3.56682278e-02, 0.00000000e+00, 1.99661642e-01
3.29073742e-02, 5.77425733e-02, 3.56682055e-02, 0.00000000e+00, 2.00520083e-01
3.28247584e-02, 5.77744171e-02, 3.56681719e-02, 0.00000000e+00, 2.00907856e-01
3.27434316e-02, 5.78092113e-02, 3.56681161e-02, 0.00000000e+00, 2.01222315e-01
3.26635949e-02, 5.78472689e-02, 3.56680341e-02, 0.00000000e+00, 2.01717883e-01
3.25851403e-02, 5.78879043e-02, 3.56679596e-02, 0.00000000e+00, 2.01614380e-01
3.25080715e-02, 5.79310246e-02, 3.56677920e-02, 0.00000000e+00, 2.00673550e-01
3.24330032e-02, 5.79774380e-02, 3.56676690e-02, 0.00000000e+00, 1.99237823e-01
3.23596597e-02, 5.80263063e-02, 3.56675349e-02, 0.00000000e+00, 2.01555282e-01
3.33338752e-02, 5.75500131e-02, 3.66387367e-02, 0.00000000e+00, 2.16081753e-01
3.32440399e-02, 5.75671718e-02, 3.66388932e-02, 0.00000000e+00, 2.16853291e-01
3.31548899e-02, 5.75873628e-02, 3.66389677e-02, 0.00000000e+00, 2.20122829e-01
3.30664851e-02, 5.76105565e-02, 3.66389900e-02, 0.00000000e+00, 2.21724212e-01
3.29792388e-02, 5.76376356e-02, 3.66390757e-02, 0.00000000e+00, 2.22909778e-01
3.28930505e-02, 5.76677136e-02, 3.66390571e-02, 0.00000000e+00, 2.23858476e-01
3.28078978e-02, 5.77005856e-02, 3.66390198e-02, 0.00000000e+00, 2.24283382e-01
3.27240825e-02, 5.77365309e-02, 3.66389565e-02, 0.00000000e+00, 2.24582165e-01
3.26418541e-02, 5.77759184e-02, 3.66388746e-02, 0.00000000e+00, 2.24968046e-01
