cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
        21,-1.160161191E-04, 7.886705920E-03, 9.235358238E-02, 3.277826432E+02
        22,-1.803486812E-04, 7.902433164E-03, 9.278756380E-02, 3.277048952E+02
        23,-2.001506655E-04, 7.868041284E-03, 9.256627411E-02, 3.277048952E+02
        24,-2.258922177E-04, 7.878895849E-03, 9.245064855E-02, 3.277048952E+02
        25,-2.582179150E-05, 7.803489920E-03, 9.235987812E-02, 3.277084702E+02
        26,-5.172416058E-05, 7.768977433E-03, 9.236904979E-02, 3.277084702E+02
        27,-1.033667431E-04, 7.801955566E-03, 9.270142764E-02, 3.276139719E+02
        28,-1.037456022E-04, 7.767947856E-03, 9.249487519E-02, 3.276139719E+02
        29,-1.295757684E-04, 7.782658562E-03, 9.249370545E-02, 3.276139719E+02
        30,-3.885377009E-05, 7.732160389E-03, 9.240589291E-02, 3.274772822E+02
        31,-3.867195119E-05, 7.888235152E-03, 9.234669805E-02, 3.277662712E+02
        32,-1.289466018E-04, 7.869449444E-03, 9.292150289E-02, 3.276721114E+02
        33,-1.030490166E-04, 7.902096026E-03, 9.310975671E-02, 3.276721114E+02
        34,-1.046239558E-04, 7.936065085E-03, 9.320693463E-02, 3.276721114E+02
        35,-3.879280484E-05, 7.786232978E-03, 9.273903072E-02, 3.275970839E+02
        36,-3.867509440E-05, 7.878127508E-03, 9.316716343E-02, 3.276558083E+02
        37,-2.574102109E-05, 7.927879691E-03, 9.329090267E-02, 3.276388962E+02
         1,-2.431707107E-04,-7.937502116E-03, 9.244638681E-02, 4.055018921E+02
         2,-2.431706962E-04,-7.937502116E-03, 9.237594157E-02, 4.081565216E+02
         3,-1.962330425E-04,-7.943583652E-03, 9.259256721E-02, 4.054879025E+02
         4,-1.962329698E-04,-7.943583652E-03, 9.237024933E-02, 4.081377731E+02
         5,-1.182907217E-04,-7.951635867E-03, 9.276950359E-02, 4.054738796E+02
         6,-2.603756548E-05,-7.940714248E-03, 9.329097718E-02, 4.028405646E+02
         7,-1.182905180E-04,-7.951634936E-03, 9.236324579E-02, 4.081204076E+02
         8,-2.666228102E-05,-7.963835262E-03, 9.268233180E-02, 4.054602324E+02
         9,-5.269984831E-05,-7.951178588E-03, 9.298601747E-02, 4.054602324E+02
        10,-3.952474799E-05,-7.956568152E-03, 9.235975146E-02, 4.081048207E+02
        11,-2.614869118E-05,-7.731465623E-03, 9.237724543E-02, 4.183743229E+02
        12,-2.609303920E-05,-7.803484332E-03, 9.235998243E-02, 4.184273903E+02
        13,-5.224172855E-05,-7.768966723E-03, 9.236922115E-02, 4.184273903E+02
        14,-3.922325777E-05,-7.732075639E-03, 9.240670502E-02, 4.153112239E+02
        15,-1.175071156E-04,-7.796125021E-03, 9.236927330E-02, 4.184286507E+02
        16,-7.889631524E-05,-7.734259591E-03, 9.238019586E-02, 4.153120342E+02
        17,-3.909781663E-05,-7.888226770E-03, 9.234680235E-02, 4.184513233E+02
        18,-3.918138464E-05,-7.786225062E-03, 9.273891151E-02, 4.153647697E+02
        19,-1.760941232E-04,-7.815782912E-03, 9.237416834E-02, 4.184321548E+02
        20,-1.172941629E-04,-7.886679843E-03, 9.235394001E-02, 4.184530509E+02
        21,-1.044284436E-04,-7.801934611E-03, 9.269896895E-02, 4.153650583E+02
        22,-1.305831684E-04,-7.782682776E-03, 9.249355644E-02, 4.153650583E+02
        23,-1.049952116E-04,-7.749189157E-03, 9.238019586E-02, 4.153650583E+02
        24,-3.909965017E-05,-7.878554054E-03, 9.316639602E-02, 4.153890755E+02
