"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
84 612.0449051374044 884.1412963867188 29453.80438348859 9893139.984185619
85 612.105852719514 884.2188110351563 29442.85043867707 9893142.517728314
86 612.1771880345472 884.304931640625 29428.07323576558 9893145.332663571
87 612.2534429090481 884.3927612304688 29413.8633278321 9893148.131335989
88 612.3335307322959 884.4755859375 29397.77565511736 9893151.34253175
89 612.416624099881 884.5650024414063 29378.5076127479 9893154.436507251
90 612.4839660496444 884.6458740234375 29364.14279878931 9893157.406769343
91 612.5410669799815 884.717529296875 29352.98500872033 9893160.185215853
92 612.605281411444 884.7962646484375 29339.92344968605 9893163.042196561
93 612.6682259405167 884.8710327148438 29328.33607516556 9893167.038383322
94 612.7362306416775 884.9470825195313 29315.18314125004 9893171.047472786
95 612.8013579512503 885.0166625976563 29301.61134811103 9893180.775317637
96 612.8694283484821 885.0952758789063 29286.63576532633 9893183.312100163
97 612.919592334879 885.1563110351563 29277.34651822778 9893188.531986967
98 612.9730613010655 885.2228393554688 29266.25292699274 9893194.940798463
99 613.0155634084806 885.2738037109375 29258.84802252836 9893197.810417052
100 613.0611470236547 885.3263549804688 29249.46456974343 9893199.480650231
101 613.1109097358443 885.3804931640625 29239.19710768071 9893202.418857044
102 613.1650835053214 885.4418334960938 29227.49682454971 9893206.834069893
103 613.2097493373491 885.4935302734375 29218.56073710245 9893208.644202512
104 613.2462898344859 885.5381469726563 29210.65782931822 9893217.964424323
105 613.2816663066218 885.5809326171875 29203.21717953096 9893220.464327704
106 613.3167907933943 885.6221313476563 29196.14281119805 9893221.600855121
107 613.3542256080601 885.6641235351563 29188.35732601195 9893222.539429413
108 613.3974572279533 885.7128295898438 29179.02020999375 9893223.491574384
109 613.4346424826209 885.7543334960938 29171.21784115952 9893224.397357972
110 613.472868235491 885.79931640625 29162.44335298036 9893229.214144873
111 613.5049499334334 885.8369750976563 29155.90062575566 9893230.088142464
112 613.5353221432586 885.8726196289063 29149.16240136153 9893234.200280529
113 613.5697740645469 885.9127807617188 29141.79685339789 9893236.481907794
114 613.6108243221706 885.9603881835938 29133.41818281353 9893237.350101318
115 613.6407506420969 885.9935302734375 29127.72688726114 9893238.003233906
